Setor;CodigoRevendedor;NomeRevendedora;CicloFaturamento;CodigoProduto;NomeProduto;QuantidadeItens;ValorPraticado;Tipo
14210 FVC - 13706 - A - ALCINA MARIA 1;REV001;Maria Silva Santos;01/2026;PROD001;Perfume Floral;2;350,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV001;Maria Silva Santos;01/2026;PROD002;Creme Hidratante;1;89,90;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV001;Maria Silva Santos;01/2026;PROD003;Batom Matte;3;120,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV001;Maria Silva Santos;02/2026;PROD004;Kit Maquiagem;1;450,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV001;Maria Silva Santos;02/2026;PROD005;Shampoo Premium;2;75,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV001;Maria Silva Santos;03/2026;PROD006;Condicionador;2;65,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV001;Maria Silva Santos;01/2026;PROD007;Mascara Facial;1;45,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV002;Ana Paula Oliveira;01/2026;PROD001;Perfume Floral;5;875,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV002;Ana Paula Oliveira;01/2026;PROD008;Desodorante;10;250,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV002;Ana Paula Oliveira;02/2026;PROD009;Base Liquida;4;320,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV002;Ana Paula Oliveira;02/2026;PROD010;Po Compacto;3;180,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV002;Ana Paula Oliveira;03/2026;PROD011;Rimel;6;240,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV002;Ana Paula Oliveira;03/2026;PROD012;Delineador;4;160,00;Venda
14210 FVC - 13706 - A - ALCINA MARIA 1;REV002;Ana Paula Oliveira;04/2026;PROD013;Kit Skincare;2;780,00;Venda
